Name,MW,LogP,HBD,HBA,RB,TPSA,Label,Num_C,Num_H,Num_N,Num_O,Num_F,Num_Cl,Num_Br,Num_S,Num_P
2016,224.28699999999998,1.9818999999999998,2,2,0,55.92,0,14,0,3,0,0,0,0,0,0
2020,385.5050000000003,1.2025,4,5,11,118.97,0,19,0,3,5,0,0,0,0,0
2124,83.97600000000001,0.8798,0,0,0,0.0,0,0,0,0,0,3,0,0,0,0
2132,378.10800000000023,3.1869000000000014,3,3,3,58.28,0,13,0,2,1,0,0,2,0,0
2223,769.122,12.381599999999986,1,6,39,91.28999999999999,0,44,0,1,7,0,0,0,0,1
2322,374.43400000000014,-1.9479999999999926,6,7,8,148.35000000000002,0,17,0,2,7,0,0,0,0,0
2425,617.1440000000003,1.4669999999999992,4,6,14,136.04,0,23,0,3,6,0,0,2,0,0
2529,476.53600000000046,-5.136799999999994,6,10,12,219.38,0,18,0,2,10,0,0,0,0,0
2537,152.237,2.401700000000001,0,1,0,17.07,0,10,0,0,1,0,0,0,0,0
2628,584.6830000000002,0.9987200000000012,4,13,10,197.39999999999995,0,20,0,6,7,0,0,0,4,0
2727,276.745,1.7379,2,3,4,75.27,0,10,0,2,3,0,1,0,1,0
2761,368.5240000000001,5.1070000000000055,0,2,6,6.48,0,26,0,2,0,0,0,0,0,0
2826,303.35799999999995,1.8677,0,5,3,55.84,0,17,0,1,4,0,0,0,0,0
2925,507.6270000000003,3.1575000000000006,2,6,3,105.22999999999999,0,30,0,1,6,0,0,0,0,0
3022,256.213,2.982400000000001,2,3,2,87.74000000000001,0,14,0,0,5,0,0,0,0,0
3024,173.83499999999998,1.7337,0,0,0,0.0,0,1,0,0,0,0,0,2,0,0
3052,199.29799999999997,0.6956,0,2,2,26.790000000000006,0,10,0,3,1,0,0,0,0,0
3123,239.2079999999999,0.5264999999999997,4,3,8,120.85000000000001,0,8,0,1,5,0,0,0,0,1
3146,334.54400000000004,7.220900000000007,1,1,17,37.3,0,22,0,0,2,0,0,0,0,0
3222,376.45300000000015,1.6046,2,5,9,95.93999999999998,0,20,0,2,5,0,0,0,0,0
3544,251.311,0.47179999999999955,2,4,4,85.08,0,11,0,3,2,0,0,0,1,0
4156,110.13399999999999,-0.40759999999999996,0,3,1,43.370000000000005,0,2,0,0,3,0,0,0,1,0
4324,332.2490000000001,0.4117199999999994,5,6,7,149.21000000000004,0,12,0,2,7,0,0,0,0,1
4625,210.23600000000002,2.5074000000000005,2,1,1,44.89,0,13,0,2,1,0,0,0,0,0
6293,240.214,1.8731999999999995,2,4,0,74.6,0,14,0,0,4,0,0,0,0,0
6785,280.276,1.5832000000000002,0,6,6,78.9,0,14,0,0,6,0,0,0,0,0
6859,359.7780000000001,1.8897,0,2,0,35.95,0,10,0,1,1,0,0,0,0,0
7321,183.12300000000002,1.0851999999999997,1,5,2,112.3,0,6,0,3,4,0,0,0,0,0
7616,143.274,2.5184000000000006,0,1,6,3.24,0,9,0,1,0,0,0,0,0,0
7847,56.064,0.37129999999999996,0,1,1,17.07,0,3,0,0,1,0,0,0,0,0
8722,305.8340000000001,0.7571,0,4,0,6.48,0,6,0,2,0,0,0,0,4,0
8734,256.374,4.332840000000004,2,1,2,24.39,0,15,0,2,0,0,0,0,1,0
8893,159.05999999999997,0.02279999999999993,2,2,0,24.06,0,4,0,2,0,0,2,0,0,0
9191,179.22199999999998,3.3880000000000017,0,1,0,12.89,0,13,0,1,0,0,0,0,0,0
985,256.4299999999999,5.552300000000006,1,1,14,37.3,0,16,0,0,2,0,0,0,0,0
9992,124.086,0.46859999999999996,0,2,3,26.3,0,4,0,0,2,2,0,0,0,0
9996,63.074999999999996,-0.08539999999999992,1,1,1,26.02,0,2,0,1,0,1,0,0,0,0
