Gene	GSM346111	GSM346114	GSM346115	GSM346116	GSM346117	GSM346118	GSM346120	GSM346122	Mean_Expression
YER149C	28.397	22.071	26.062	27.125	59.92	53.564	53.464	48.909	39.93899999999999
YER150W	13.115	4.946	364.311	313.326	18.416	18.235	140.24	110.61	122.89987500000001
YER151C	42.324	31.369	40.71	32.011	25.894	21.939	35.31	27.332	32.111125
YER152C	21.189	16.411	28.516	35.276	68.701	76.402	118.005	112.004	59.563
YER153C	3.071	2.482	4.96	10.226	8.086	18.405	15.203	22.498	10.616375000000001
YER154W	26.259	18.078	45.025	32.787	29.02	27.743	40.442	33.365	31.589875000000003
YER155C	25.072	22.286	22.219	21.172	27.114	24.345	34.412	29.758	25.797250000000002
YER156C	162.968	159.416	65.952	74.562	165.0	154.879	81.247	71.868	116.9865
YER157W	16.63	15.416	18.957	17.1	62.097	73.396	73.121	88.266	45.622875
YER158C	5.124	3.129	8.091	10.805	9.593	9.826	12.175	10.253	8.624500000000001
YER159C	107.939	81.711	179.466	208.13	116.711	91.053	146.097	141.596	134.087875
YER161C	33.433	31.601	39.152	52.729	71.378	47.242	108.012	76.714	57.532625
YER162C	4.156	5.738	12.306	18.379	25.229	23.413	57.095	59.596	25.738999999999997
YER163C	36.123	15.841	63.311	52.445	70.775	76.523	169.67	204.737	86.178125
YER164W	31.655	31.447	24.734	18.567	14.066	14.344	13.224	11.837	19.98425
YER165W	1157.071	1202.395	376.902	275.306	157.186	142.14	138.37	122.434	446.4755
YER166W	16.601	16.677	18.813	19.013	17.526	16.097	25.704	22.48	19.113875
YER167W	19.568	13.023	17.846	22.229	42.023	48.122	31.454	32.578	28.355375
YER168C	32.975	32.828	30.099	26.851	100.237	89.699	70.972	68.909	56.57125
YER169W	10.582	14.452	11.128	13.52	33.115	39.17	15.593	20.226	19.72325
YER170W	22.516	28.928	24.242	36.043	71.948	75.565	108.033	103.983	58.907250000000005
YER171W	19.134	16.142	14.637	14.46	44.78	49.127	30.41	34.189	27.859875
YER172C	14.781	12.165	9.177	9.36	15.068	14.825	16.879	15.036	13.411375
YER173W	6.239	4.162	4.478	6.925	45.892	40.312	27.063	24.633	19.963
YER174C	51.937	38.745	65.38	56.534	179.515	156.679	189.862	143.34	110.249
YER175C	9.793	8.794	67.478	85.321	51.184	46.325	104.713	144.649	64.782125
YER175W-A	0.0	1.9	15.186	32.288	8.252	15.215	13.965	17.642	13.056
YER176W	22.38	25.152	12.801	16.301	29.052	27.076	29.082	25.493	23.417125
YER177W	974.65	962.849	1727.413	1803.227	1412.349	1448.426	2489.827	2471.505	1661.2807500000004
YER178W	570.261	517.172	741.771	649.835	141.628	118.511	296.817	293.785	416.22249999999997
YER179W	1.788	1.606	5.134	6.45	6.974	1.429	7.081	13.206	5.4585
YER180C	0.731	0.0	0.0	4.257	103.447	90.724	24.594	43.864	33.452124999999995
YER180C-A	52.093	46.371	53.647	47.133	121.913	83.613	80.728	46.944	66.55525
YER182W	20.775	20.233	32.69	48.553	95.367	70.87	83.856	82.235	56.822375
YER183C	47.997	38.789	53.663	69.917	183.61	165.946	140.732	147.77	106.053
YER184C	0.493	0.93	2.125	0.821	13.279	13.602	13.19	21.159	8.199874999999999
YER185W	1.933	0.694	0.0	0.0	6.031	8.649	0.0	2.302	2.4511249999999998
YER186C	0.0	1.375	4.121	9.559	147.819	129.694	112.438	126.31	66.4145
YER187W	0.0	0.0	0.0	0.0	6.44	16.491	5.449	8.85	4.6537500000000005
YFL001W	22.122	17.401	6.669	14.363	104.578	86.12	36.795	32.886	40.11675
YFL002C	20.997	26.454	11.825	12.1	65.77	63.032	39.658	23.087	32.865375
YFL003C	0.446	1.082	0.48	1.114	4.961	5.242	3.977	4.306	2.701
YFL004W	118.297	156.662	82.022	89.017	138.701	134.302	119.464	98.922	117.173375
YFL005W	257.296	272.369	353.097	402.706	532.179	481.697	690.67	693.483	460.43712500000004
YFL007W	14.095	15.533	14.387	20.418	21.099	21.721	33.891	36.044	22.1485
YFL008W	27.364	24.485	24.465	32.102	30.896	24.013	60.521	36.484	32.54125
YFL010C	311.055	260.584	401.476	426.416	159.848	143.377	296.086	326.546	290.6735
YFL011W	0.0	0.579	0.0	0.0	0.839	2.234	0.71	1.537	0.737375
YFL012W	0.0	0.0	0.0	2.183	1.535	3.144	2.597	0.0	1.182375
YFL013C	32.26	21.802	44.482	37.688	35.099	32.018	50.991	43.484	37.227999999999994
YFL014W	31.927	56.383	6133.895	8631.403	76.795	62.078	6683.809	7897.869	3696.769875
YFL016C	50.158	39.814	52.766	55.138	69.445	69.94	90.222	99.337	65.8525
YFL017C	76.97	69.116	107.861	126.106	217.302	151.708	287.888	227.905	158.107
YFL017W-A	162.192	112.929	214.92	247.17	125.552	70.582	163.052	124.838	152.654375
YFL018C	198.385	207.011	479.521	438.622	111.023	91.541	240.666	237.902	250.58387499999998
YFL021W	10.742	8.681	80.956	80.793	11.223	13.611	67.609	72.386	43.250125
YFL022C	294.052	268.658	192.633	190.376	110.143	115.244	181.765	155.954	188.603125
YFL023W	24.855	29.699	5.299	3.687	34.555	38.108	9.258	8.618	19.259875
YFL024C	6.357	7.865	3.549	7.056	24.797	20.771	15.852	15.314	12.695125
YFL025C	7.809	7.696	5.331	5.073	14.931	19.632	10.182	14.02	10.584249999999999
YFL026W	195.538	184.548	302.842	263.598	557.95	712.131	484.214	520.428	402.656125
YFL027C	10.235	8.483	14.409	15.728	157.529	138.145	95.873	89.465	66.233375
YFL028C	39.844	30.563	58.166	63.522	170.689	172.894	208.608	242.779	123.383125
YFL029C	13.275	9.727	20.581	22.1	52.815	38.951	42.058	56.548	32.006874999999994
YFL030W	1.523	0.547	3.279	4.648	12.475	15.09	16.084	20.681	9.290875
YFL031W	13.46	16.77	36.229	36.414	376.039	489.236	461.429	439.521	233.63724999999997
YFL034C-A	597.246	595.793	187.322	142.042	1601.318	1705.204	334.582	285.769	681.1595
YFL034C-B	45.192	31.465	38.924	39.354	39.864	37.999	48.185	32.299	39.16025
YFL034W	10.411	9.447	13.766	13.988	12.61	15.5	20.978	15.927	14.078374999999998
YFL036W	11.464	13.526	10.312	13.65	11.717	9.601	14.655	15.039	12.4955
YFL037W	264.055	286.148	360.319	338.071	118.185	127.417	167.792	194.841	232.10349999999994
YFL038C	383.766	340.702	553.617	622.371	564.091	550.157	808.573	948.504	596.472625
YFL039C	2073.012	1919.361	2728.943	2549.76	460.211	591.341	1012.83	1005.797	1542.6568750000001
YFL040W	0.0	0.0	0.0	0.302	0.848	1.39	0.0	0.777	0.414625
YFL041W	34.936	29.506	29.142	35.107	30.2	36.064	32.408	42.741	33.763
YFL041W-A	0.0	0.0	0.0	0.0	42.623	24.74	18.032	41.22	15.826875
YFL042C	10.168	9.861	28.151	21.523	9.179	10.725	25.887	26.37	17.733
YFL044C	50.587	40.184	120.1	107.97	36.427	43.22	130.99	142.766	84.0305
YFL045C	828.427	1089.162	535.647	609.696	1354.793	1317.413	793.594	832.435	920.1458749999999
YFL046W	44.213	42.574	64.819	88.484	95.766	89.75	126.665	122.365	84.3295
YFL047W	13.988	15.664	15.946	25.114	66.115	61.542	78.752	69.788	43.363625
YFL048C	101.077	85.238	109.77	120.717	264.317	226.285	291.517	302.469	187.67374999999998
YFL049W	18.226	12.867	20.976	26.419	63.98	56.044	60.979	65.131	40.577749999999995
YFL050C	0.228	0.246	0.983	0.57	17.902	17.406	10.851	15.34	7.9407499999999995
YFL052W	0.421	0.0	0.0	1.05	0.0	0.202	0.0	3.608	0.6601250000000001
YFL053W	0.0	0.0	1.426	0.551	0.388	0.794	1.312	0.473	0.618
YFL054C	0.303	0.98	7.179	10.848	3.546	4.94	32.407	40.94	12.642875
YFL055W	0.351	0.0	6.797	5.839	9.439	9.08	20.141	19.553	8.9
YFR001W	148.891	168.151	45.213	58.791	407.638	286.905	164.421	116.646	174.582
YFR002W	51.837	36.357	46.759	23.907	79.509	78.251	63.343	54.571	54.31675
YFR003C	75.176	52.654	199.647	263.866	134.883	113.532	307.643	320.586	183.498375
YFR004W	153.76	152.622	181.343	300.06	310.569	261.835	491.441	469.673	290.162875
YFR005C	22.263	17.169	14.1	11.264	117.996	118.666	50.999	42.119	49.322
YFR006W	75.713	64.046	70.096	90.73	160.071	141.515	160.063	173.32	116.94425000000001
YFR007W	12.176	9.244	19.068	12.439	23.315	21.493	12.055	19.778	16.195999999999998
YFR008W	15.868	22.798	36.067	53.568	55.704	45.646	76.807	91.359	49.727125
YFR009W	98.711	112.26	90.293	109.051	148.726	148.969	210.934	208.3	140.9055
YFR010W	114.483	114.912	249.891	231.386	153.689	126.879	277.154	284.417	194.101375
YFR011C	104.055	110.276	105.874	140.869	133.801	93.744	142.645	93.166	115.55375000000001
YFR012W	0.964	0.0	0.0	0.802	2.256	1.848	5.725	0.689	1.5354999999999999
YFR013W	14.436	18.908	24.117	21.754	36.696	33.531	37.949	40.914	28.538125
YFR014C	18.416	17.955	52.874	67.524	55.413	52.135	86.826	99.031	56.271750000000004
YFR015C	3.319	4.62	39.309	75.519	9.386	9.548	38.339	74.529	31.821125
YFR017C	0.998	3.764	38.686	67.297	3.504	2.871	9.882	19.974	18.372
YFR018C	13.457	14.791	39.409	27.332	42.831	38.969	58.623	53.091	36.062875
YFR021W	14.869	10.119	18.536	16.611	16.483	12.381	22.469	19.856	16.4155
YFR022W	2.405	1.44	2.301	4.226	7.191	11.785	7.407	10.885	5.954999999999999
YFR023W	0.0	0.518	0.0	0.533	2.624	1.997	1.903	1.145	1.09
YFR024C-A	102.472	103.784	242.431	229.168	182.69	169.946	389.269	454.2	234.245
YFR025C	27.403	21.047	57.752	48.048	105.749	109.857	159.324	201.69	91.35875000000001
YFR026C	0.0	0.0	0.0	0.957	18.842	15.44	29.607	23.017	10.982875
YFR027W	9.722	11.224	7.477	9.827	23.565	19.31	16.501	21.342	14.871
YFR028C	34.452	26.79	35.181	28.678	105.148	113.579	80.176	79.455	62.93237499999999
YFR029W	4.621	3.579	7.463	9.857	8.111	7.892	14.297	15.688	8.938500000000001
YFR030W	19.693	12.446	546.761	466.701	23.265	23.603	425.933	453.226	246.45350000000002
YFR031C	7.036	6.77	4.69	6.275	43.717	37.831	27.534	25.025	19.859750000000002
YFR032C	1.351	0.364	0.0	0.0	23.707	19.75	2.674	0.0	5.98075
YFR032C-A	8506.428	7304.316	3762.281	2537.115	7140.643	5859.106	3068.933	2374.975	5069.224624999999
YFR033C	58.096	49.797	110.881	170.356	205.487	153.192	400.018	355.768	187.949375
YFR034C	48.813	34.054	47.164	66.678	65.905	67.507	99.134	146.257	71.93900000000001
YFR035C	0.0	0.0	0.0	0.0	1.986	2.441	0.0	0.0	0.553375
YFR036W	37.488	26.931	16.817	19.503	23.761	18.722	18.558	13.397	21.897124999999996
YFR037C	83.975	79.698	59.77	82.478	209.683	175.192	194.808	184.324	133.741
YFR038W	19.063	13.735	11.869	13.0	37.625	35.677	31.835	23.309	23.264125
YFR039C	20.716	17.982	14.043	26.824	90.231	88.653	110.15	102.821	58.92750000000001
YFR040W	18.971	18.335	24.005	26.211	24.945	17.534	43.374	34.386	25.970124999999996
YFR041C	37.715	47.057	59.84	72.151	102.974	82.478	148.051	127.683	84.74362500000001
YFR042W	26.281	18.879	58.686	56.716	128.703	117.132	146.481	166.961	89.97987499999999
YFR043C	21.384	18.611	21.252	23.277	43.308	48.106	63.515	38.209	34.70775
YFR044C	237.098	188.656	399.324	371.025	97.08	92.615	208.571	221.486	226.981875
YFR045W	8.385	9.035	26.388	26.308	38.492	28.449	38.315	40.567	26.992375000000003
YFR046C	9.201	6.707	16.317	10.362	29.134	26.987	34.296	24.758	19.72025
YFR047C	35.73	50.978	129.652	163.028	83.618	93.581	307.894	286.578	143.882375
YFR048W	15.38	9.721	14.648	11.079	40.147	41.974	43.925	38.685	26.944874999999996
YFR049W	119.666	89.075	284.798	254.267	73.698	59.636	174.598	208.19	157.991
YFR050C	209.005	169.899	375.829	371.76	236.843	238.028	425.476	462.288	311.141
YFR051C	113.26	84.195	147.409	113.372	43.198	37.461	93.683	66.859	87.429625
YFR052W	180.866	177.245	297.458	287.473	224.137	207.565	384.929	388.819	268.56149999999997
YFR053C	28.234	34.987	1174.229	1391.993	9.911	6.962	241.999	323.733	401.50600000000003
YFR055W	81.007	155.078	16.082	21.52	262.185	457.236	56.881	55.433	138.17775
YFR057W	0.0	0.0	0.0	0.0	1.505	0.616	0.0	0.0	0.265125
YGL001C	65.493	85.049	143.437	119.751	215.5	205.574	340.287	339.666	189.344625
YGL002W	20.742	23.322	50.488	67.56	137.182	140.084	148.214	179.825	95.92712499999999
YGL003C	8.299	5.962	6.701	13.24	32.37	27.188	36.975	37.565	21.0375
YGL004C	15.003	8.083	36.345	32.003	43.342	39.787	69.63	67.019	38.9015
YGL005C	20.982	19.594	22.59	37.841	126.849	111.657	134.333	151.457	78.162875
YGL006W	8.021	7.383	23.749	24.203	22.096	18.347	48.641	46.698	24.89225
YGL006W-A	0.0	0.0	11.221	8.676	0.0	2.498	0.0	3.725	3.265
YGL007C-A	0.0	0.0	0.0	0.0	38.712	9.517	0.0	0.0	6.028625
YGL008C	2072.718	2058.555	1256.538	1349.21	648.615	872.775	607.758	638.874	1188.130375
YGL009C	620.061	663.001	2484.621	2604.975	287.164	385.4	2454.615	3181.053	1585.11125
YGL010W	12.292	15.653	26.467	34.415	75.838	50.894	15.489	47.12	34.771
YGL011C	209.707	186.78	326.588	340.103	138.54	125.768	320.247	285.934	241.70837500000002
YGL012W	184.853	169.11	193.232	180.033	310.181	383.841	474.124	507.482	300.357
YGL013C	12.846	12.458	17.386	15.275	15.461	15.836	22.893	22.297	16.8065
YGL014W	52.07	36.376	31.831	21.304	28.4	24.33	24.466	19.712	29.811124999999997
YGL015C	0.0	0.0	0.0	1.241	0.0	1.43	2.952	0.0	0.702875
YGL016W	27.015	23.151	8.979	8.602	36.066	38.594	15.796	15.031	21.65425
YGL017W	8.946	12.574	11.725	22.664	79.649	77.948	73.168	72.0	44.83425
YGL018C	40.175	23.924	43.254	23.761	21.031	18.754	20.935	40.804	29.079749999999997
YGL019W	58.958	52.942	80.102	78.289	150.299	143.015	218.203	211.193	124.125125
YGL020C	84.6	91.608	108.943	122.892	189.253	167.409	169.162	155.904	136.22137500000002
YGL021W	15.721	17.079	27.747	29.39	56.694	58.196	107.676	88.413	50.1145
YGL022W	81.554	80.972	111.591	89.682	77.876	94.938	113.96	113.457	95.50375000000001
YGL023C	19.116	12.625	32.531	22.071	20.564	25.129	47.009	33.715	26.594999999999995
YGL025C	26.588	19.365	32.867	34.018	24.198	32.813	51.674	41.525	32.881
YGL026C	292.779	245.344	453.89	335.706	99.504	104.247	241.879	205.492	247.355125
YGL027C	46.095	46.502	53.679	58.924	58.34	51.64	92.671	92.446	62.537125
YGL028C	118.426	79.562	81.633	73.032	121.254	141.944	38.607	40.514	86.8715
YGL029W	138.75	172.111	27.792	38.946	415.333	266.086	124.593	55.349	154.87
YGL030W	4748.225	4193.1	1512.366	1519.413	5862.868	5626.886	1859.508	2030.299	3419.083125
YGL032C	104.051	78.723	100.107	92.14	82.896	66.867	118.36	121.834	95.62225000000001
YGL033W	1.84	1.983	1.981	6.127	2.153	2.647	12.754	5.919	4.4254999999999995
YGL035C	34.937	37.646	54.332	74.32	24.983	19.914	56.881	50.772	44.223125
YGL036W	8.406	6.503	14.388	17.763	20.935	18.912	22.195	30.349	17.431375
YGL037C	167.737	176.372	1588.433	1947.231	341.9	293.138	1789.278	2008.372	1039.057625
YGL038C	36.678	36.887	42.999	47.492	57.701	55.294	62.943	55.05	49.3805
YGL039W	51.085	54.442	62.857	73.364	105.102	114.923	82.258	104.719	81.09375
YGL040C	118.233	93.552	92.243	106.025	227.241	251.385	183.223	197.99	158.7365
YGL041C-B	0.0	0.0	0.0	0.0	7.449	9.157	6.303	2.275	3.148
YGL041W-A	32.846	37.921	50.519	52.729	123.539	104.608	130.079	122.408	81.831125
YGL043W	145.325	124.255	126.531	137.273	141.216	109.054	168.904	149.025	137.697875
YGL044C	40.226	41.214	25.559	40.62	108.03	89.157	71.818	69.283	60.738375
YGL045W	4.694	2.918	9.329	8.415	19.012	18.695	20.733	24.515	13.538875
YGL047W	23.131	19.213	103.767	109.911	72.178	75.781	230.923	294.824	116.21600000000001
YGL048C	187.284	158.378	319.086	263.977	353.01	339.721	664.276	706.529	374.032625
YGL049C	74.173	60.521	75.242	76.017	20.068	16.136	32.261	28.498	47.86450000000001
YGL050W	25.728	28.493	24.622	20.226	82.789	67.156	65.096	43.416	44.69075
YGL054C	337.307	345.293	299.606	414.143	899.581	996.575	595.557	775.467	582.9411249999999
YGL055W	201.025	199.873	92.521	123.265	272.937	350.75	56.974	78.418	171.970375
YGL056C	38.986	25.806	16.79	13.908	49.096	46.105	27.939	23.353	30.247874999999997
YGL057C	17.0	17.586	26.356	27.17	28.645	28.363	22.89	24.786	24.0995
YGL058W	134.505	190.0	155.765	202.284	239.391	197.793	194.717	214.884	191.167375
YGL059W	4.781	3.005	5.148	12.935	28.44	30.372	27.613	58.377	21.333875
YGL060W	11.912	15.469	10.523	13.729	24.661	26.066	21.773	25.978	18.763875
YGL061C	33.944	31.472	18.697	26.283	72.048	68.879	54.708	46.827	44.10725000000001
YGL063W	3.169	1.423	1.137	2.198	13.596	13.927	5.229	5.285	5.7455
YGL064C	13.606	9.774	6.01	10.454	26.534	22.914	13.125	14.212	14.578625
YGL065C	24.893	23.052	41.877	44.033	34.135	34.312	30.808	30.301	32.926375
YGL066W	21.457	19.91	21.818	20.094	26.852	23.718	25.965	26.412	23.27825
YGL067W	32.574	35.101	55.894	51.264	45.263	46.119	41.321	42.561	43.762125000000005
YGL068W	178.571	155.125	181.455	177.035	336.908	405.457	270.162	278.915	247.9535
YGL070C	187.299	238.598	164.058	191.582	271.173	312.008	226.299	203.067	224.2605
YGL071W	18.163	15.443	14.055	11.575	20.921	17.144	30.346	26.774	19.302625000000003
YGL073W	17.168	13.938	22.788	27.407	27.244	24.016	43.774	35.634	26.496125
YGL075C	7.576	8.435	7.613	10.51	50.233	55.207	27.002	36.096	25.334
YGL077C	49.363	63.867	74.106	86.52	113.897	137.331	215.454	176.651	114.64862500000001
YGL078C	125.708	157.025	7.25	18.374	316.52	287.531	91.863	40.644	130.614375
YGL079W	9.83	12.999	36.559	39.423	38.689	28.276	72.547	80.472	39.849375
YGL080W	119.267	112.452	170.14	165.05	195.384	142.951	153.507	166.222	153.121625
YGL081W	2.441	5.918	3.942	10.667	9.997	7.314	12.084	10.468	7.853875
YGL082W	50.27	36.205	100.514	102.478	118.247	107.964	197.053	207.874	115.075625
YGL083W	12.182	13.652	17.313	10.343	9.123	8.878	10.131	8.881	11.312874999999998
YGL084C	33.9	24.29	60.203	45.673	64.205	63.838	75.431	90.92	57.307500000000005
YGL085W	6.409	8.824	10.733	17.189	99.154	76.471	73.32	86.008	47.2635
YGL086W	18.827	19.301	25.338	27.644	63.033	43.377	110.807	71.393	47.465
YGL087C	137.95	95.103	268.298	335.845	65.957	61.871	123.362	144.181	154.070875
YGL089C	1.613	0.0	3.474	0.0	0.0	3.094	0.0	1.153	1.16675
YGL090W	3.251	2.002	4.0	3.866	24.455	13.805	34.026	26.554	13.994875
YGL091C	39.894	21.494	39.746	48.077	170.005	163.288	181.572	187.673	106.468625
YGL092W	50.165	45.233	34.618	33.579	48.946	42.249	35.666	29.896	40.044000000000004
YGL093W	12.82	13.124	17.944	19.92	34.754	31.347	73.196	68.874	33.997375000000005
YGL094C	10.371	6.724	10.22	10.974	12.547	15.591	10.79	15.705	11.615249999999998
YGL095C	14.926	23.394	27.026	37.272	74.226	64.24	104.785	109.099	56.871
YGL096W	3.535	1.904	3.044	12.358	19.853	17.624	16.798	14.653	11.221125
YGL097W	80.763	76.094	48.064	56.079	151.492	156.633	135.01	143.001	105.892
YGL098W	27.853	25.296	54.834	62.267	124.779	119.799	105.576	120.008	80.0515
YGL099W	96.057	104.165	13.833	23.427	56.558	42.386	25.441	16.617	47.310500000000005
YGL100W	54.858	54.588	68.705	59.642	177.509	186.788	190.65	163.232	119.4965
YGL101W	86.973	85.42	79.983	96.529	311.674	273.642	218.862	216.268	171.168875
YGL103W	8709.465	7806.597	4190.643	4417.332	12545.0	12775.231	5830.333	6168.394	7805.374374999999
YGL104C	3.623	5.855	19.935	28.815	36.738	34.929	86.877	107.306	40.50975
YGL105W	819.653	781.568	767.756	793.902	237.801	262.394	418.878	308.325	548.784625
YGL106W	449.478	404.316	518.994	546.579	579.312	427.866	554.656	564.279	505.685
YGL107C	18.791	22.044	22.189	20.939	57.807	56.524	39.609	33.575	33.93475
YGL108C	40.183	38.073	59.672	65.743	137.815	96.324	153.646	125.769	89.653125
YGL110C	17.569	15.213	20.267	26.377	85.905	73.403	64.609	62.56	45.737874999999995
YGL111W	44.779	66.232	13.644	14.066	124.568	109.57	44.334	37.137	56.79125
YGL112C	39.815	37.591	37.559	40.086	99.834	101.442	123.139	100.816	72.53525
YGL113W	2.931	3.159	5.049	9.272	38.758	37.241	18.573	21.788	17.096375000000002
YGL114W	10.535	6.986	12.797	13.941	56.264	61.128	52.954	58.499	34.138000000000005
YGL115W	66.105	63.39	92.719	112.071	203.671	243.367	262.995	269.174	164.18649999999997
YGL116W	20.86	18.673	15.894	27.247	30.417	33.387	42.576	33.946	27.875
YGL117W	6.625	4.363	11.095	31.862	60.294	43.761	102.031	169.931	53.74525
YGL119W	21.478	20.408	20.181	20.804	111.952	91.177	60.314	63.356	51.20875
YGL120C	81.718	98.925	8.798	11.266	102.794	99.415	35.397	20.989	57.412749999999996
YGL121C	0.0	3.314	13.243	33.276	23.389	8.846	66.98	83.517	29.070625
YGL123W	5297.632	4812.912	1919.401	1822.698	6809.004	6588.539	2608.827	2662.474	4065.185875
YGL124C	6.688	4.423	11.783	13.412	85.379	90.077	46.354	53.669	38.973124999999996
YGL125W	14.355	10.019	260.631	274.287	6.49	8.759	33.593	54.563	82.83712499999999
YGL126W	17.486	12.469	17.719	21.834	104.114	114.658	122.208	130.492	67.6225
YGL127C	41.191	39.454	65.701	67.305	41.059	35.108	99.69	66.512	57.0025
YGL128C	10.343	8.916	22.272	23.534	10.489	17.852	21.847	25.627	17.610000000000003
YGL129C	31.669	27.43	52.655	49.719	51.599	55.928	69.059	75.925	51.748
YGL130W	25.993	31.682	38.536	47.884	109.694	117.058	110.532	121.209	75.3235
YGL131C	3.074	1.807	4.514	8.259	11.61	8.71	13.836	21.873	9.210375
YGL133W	9.616	8.022	10.019	9.166	21.596	16.581	21.497	13.523	13.7525
YGL134W	3.161	3.65	4.862	5.263	68.696	82.274	50.971	64.875	35.469
YGL136C	3.051	5.261	9.198	12.191	72.835	79.579	72.502	74.145	41.09525
YGL137W	146.055	173.886	166.808	185.875	132.984	133.13	263.717	258.589	182.63049999999998
YGL138C	0.0	0.0	0.0	0.471	1.988	3.801	1.121	0.405	0.9732500000000001
YGL139W	26.135	25.003	25.771	30.294	31.439	31.383	25.15	25.661	27.6045
YGL140C	12.543	9.617	15.236	17.134	32.177	25.057	39.485	33.905	23.14425
YGL141W	8.828	11.137	15.3	27.601	27.462	26.839	65.658	67.249	31.259249999999998
YGL142C	9.216	12.67	28.057	24.866	36.071	37.177	44.05	44.291	29.549749999999996
YGL143C	8.047	10.967	17.328	9.851	43.76	47.433	35.619	36.878	26.235374999999998
YGL144C	2.573	4.775	5.54	4.997	33.785	36.182	12.453	13.893	14.274750000000001
YGL145W	17.879	14.148	18.647	16.51	63.743	60.537	45.359	53.109	36.2415
YGL146C	1.256	1.353	4.056	4.181	4.408	5.719	6.216	9.423	4.5765
YGL148W	354.992	273.591	248.457	204.641	424.515	423.618	366.39	324.669	327.60912499999995
YGL150C	15.407	12.629	9.924	13.811	21.726	19.319	22.164	20.705	16.960625
YGL151W	13.506	15.673	17.896	16.575	30.999	25.734	25.372	29.577	21.9165
YGL153W	30.933	36.11	54.274	60.558	80.437	63.991	106.625	115.046	68.49675
YGL154C	5.738	3.865	15.445	11.941	27.697	22.009	31.247	32.809	18.843875
YGL155W	17.672	11.761	17.907	17.738	88.795	88.711	62.78	74.667	47.50387500000001
YGL156W	0.905	1.365	22.602	24.856	6.141	5.553	18.992	18.496	12.36375
YGL157W	79.381	73.101	224.269	329.446	95.522	72.607	314.37	289.708	184.8005
YGL158W	0.0	0.0	0.823	0.636	4.472	4.031	5.297	2.458	2.214625
YGL159W	20.07	14.797	20.47	26.817	96.409	100.524	100.397	115.129	61.826625
YGL160W	12.018	14.985	21.442	27.439	38.17	45.601	49.634	61.598	33.860875
YGL161C	52.275	38.345	67.809	96.464	221.094	224.957	344.208	413.229	182.297625
YGL162W	9.793	5.628	11.246	5.978	12.987	11.894	5.171	9.332	9.003625
YGL163C	7.418	7.994	11.276	14.166	20.425	17.992	17.713	21.988	14.871500000000001
YGL164C	15.111	22.748	12.441	29.596	47.845	37.715	44.883	49.553	32.48650000000001
YGL166W	25.114	24.729	20.512	57.669	178.349	156.527	106.318	126.883	87.012625
YGL167C	42.903	42.785	52.853	44.297	36.928	39.259	45.744	40.098	43.108375
YGL169W	24.785	24.235	3.953	9.934	75.191	73.498	26.357	19.683	32.2045
YGL170C	0.0	0.0	0.0	0.394	2.77	2.043	0.0	0.338	0.6931250000000001
YGL171W	68.015	68.428	3.736	7.51	96.641	78.693	20.614	7.192	43.853624999999994
YGL172W	75.009	56.489	89.235	85.55	160.025	176.828	205.97	220.067	133.646625
YGL173C	123.833	117.881	116.054	112.586	39.341	33.899	60.476	52.461	82.06637500000001
YGL174W	21.267	25.287	26.845	32.353	33.467	21.096	26.138	23.586	26.254875
YGL175C	3.964	2.746	12.193	9.898	5.301	5.701	7.849	10.522	7.27175
YGL176C	2.473	3.045	3.043	3.235	23.975	21.34	21.685	15.654	11.80625
YGL178W	13.326	11.389	15.832	12.24	9.948	9.804	4.55	5.091	10.272499999999999
YGL179C	5.242	6.025	6.773	5.236	20.856	17.761	6.92	12.489	10.16275
YGL180W	7.208	6.237	10.818	21.273	3.578	1.676	5.623	6.869	7.9102500000000004
YGL181W	48.374	43.35	87.157	126.963	65.269	54.667	134.884	140.059	87.590375
YGL183C	0.916	0.0	1.972	2.287	6.43	7.025	7.254	9.164	4.381
YGL184C	7.151	5.439	176.618	242.992	3.938	4.235	147.424	246.216	104.251625
YGL185C	13.407	15.558	25.538	27.9	45.255	43.511	55.138	57.862	35.521125
YGL186C	45.637	43.166	91.717	108.618	178.796	212.962	295.198	312.158	161.0315
YGL187C	172.906	142.437	310.262	378.59	260.969	213.249	277.871	302.677	257.37012500000003
YGL190C	38.316	34.674	28.036	40.565	104.471	83.111	55.983	48.921	54.259625
YGL191W	217.826	175.635	371.998	480.182	281.255	242.717	511.641	514.292	349.44325000000003
YGL192W	0.0	0.0	0.0	0.0	1.527	2.503	0.0	0.7	0.59125
YGL193C	0.0	0.0	0.0	3.122	35.112	35.965	7.427	16.085	12.213875000000002
YGL194C	22.067	13.987	30.746	22.33	35.441	31.531	35.984	28.76	27.60575
YGL194C-A	26.44	45.325	41.405	52.02	140.628	135.979	52.354	56.69	68.855125
YGL195W	90.964	80.061	55.647	53.168	33.676	33.544	30.965	28.44	50.80812499999999
YGL196W	30.152	27.322	29.512	56.662	112.262	110.829	103.128	150.198	77.50812499999999
YGL197W	9.494	7.388	12.777	12.732	10.183	10.241	9.4	12.157	10.5465
YGL198W	41.471	57.199	116.087	125.653	109.67	129.633	216.79	219.333	126.9795
YGL200C	251.282	225.814	357.278	321.734	416.363	425.333	484.278	523.703	375.72312500000004
YGL201C	23.509	20.66	18.672	19.248	26.382	26.515	39.301	35.67	26.244625
YGL202W	227.727	249.604	294.048	288.574	145.141	165.833	246.385	258.961	234.53412500000002
