Gene	GSM346111	GSM346114	GSM346115	GSM346116	GSM346117	GSM346118	GSM346120	GSM346122	Mean_Expression
YAR029W	0.0	1.398	16.758	2.159	75.889	58.456	5.137	25.957	23.21925
YAR035W	0.285	0.614	0.614	0.949	1.668	1.64	3.386	2.037	1.3991249999999997
YAR042W	10.395	11.734	20.607	21.701	17.183	12.261	34.306	33.845	20.254
YBL001C	200.628	278.242	412.009	581.419	539.088	347.345	857.077	922.753	517.320125
YBL002W	1624.603	1630.224	936.684	1237.781	1108.062	1224.372	644.559	710.634	1139.614875
YBL004W	28.563	28.319	2.033	2.292	27.162	28.633	4.986	3.149	15.642125
YBL005W	5.622	5.301	6.485	8.189	19.265	13.669	27.83	15.498	12.732375000000001
YBL006C	68.073	51.23	90.74	94.439	374.25	282.329	348.75	317.399	203.40125
YBL007C	128.902	90.59	161.176	128.81	31.9	31.882	76.136	60.367	88.72037499999999
YBL008W	10.262	9.675	7.031	7.183	28.109	30.301	24.014	20.336	17.113875
YBL008W-A	0.0	3.933	5.24	14.179	5.695	4.667	0.0	5.218	4.8665
YBL009W	21.435	21.537	16.217	9.645	13.897	18.054	13.192	12.836	15.851625
YBL010C	16.726	16.521	13.506	31.325	70.946	54.795	75.898	80.192	44.988625
YBL011W	15.225	18.77	22.782	22.34	35.933	35.631	38.324	34.121	27.89075
YBL013W	8.775	5.778	8.398	6.898	2.852	3.506	4.826	3.833	5.60825
YBL014C	2.411	1.653	2.831	2.919	29.748	34.989	19.962	20.989	14.43775
YBL015W	24.924	22.247	70.491	65.337	19.588	26.396	20.625	32.703	35.288875000000004
YBL016W	33.761	30.117	25.027	23.496	80.953	72.44	53.7	49.05	46.068
YBL017C	44.706	48.776	74.338	75.151	40.106	38.521	41.803	41.893	50.66175
YBL018C	65.771	61.807	29.642	21.645	202.248	208.997	99.949	79.804	96.23287499999999
YBL019W	3.763	4.46	6.482	8.77	38.306	31.751	29.804	40.34	20.4595
YBL020W	15.003	14.881	12.482	8.231	63.84	78.797	32.409	32.9	32.317875
YBL021C	32.341	25.411	43.525	40.381	118.262	113.061	82.719	108.832	70.56649999999999
YBL022C	65.566	60.305	97.598	102.386	32.794	33.176	71.252	81.728	68.100625
